Year,Week,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2017,37,36.8,77.8,,30.8,24.6,91.8,36.2,30.6,50.0,48.0,91.0,93.2,28.2,34.4,55.6,,25.6,19.4,87.4,21.0,69.6,35.5,,45.4,78.8,,59.8,92.0,66.6,,20.0,103.0,85.8,125.6,21.2,36.4,44.4,70.0,41.6,68.0,46.2,,50.8,13.0,12.4,38.4,54.0,35.6,57.0,72.6
2017,38,67.8,45.6,,45.4,55.3,70.6,39.8,40.8,45.2,82.0,41.2,60.4,31.6,105.6,,43.4,101.2,54.2,58.8,42.4,49.4,39.3,,40.6,78.2,59.0,42.8,45.8,96.4,,68.4,42.8,82.6,99.8,51.0,40.4,88.6,70.2,68.4,60.5,,30.8,93.0,54.6,50.5,64.2,84.6,69.6,37.4,33.2
2017,39,22.2,54.6,24.8,17.0,41.7,67.6,14.0,44.8,,40.2,32.4,60.2,22.4,45.8,,45.8,23.4,50.0,31.2,80.2,63.4,82.2,,10.4,37.0,59.2,49.6,71.2,42.6,30.8,20.8,78.6,55.8,57.0,56.6,12.0,47.2,43.8,12.2,73.5,,70.4,36.2,68.8,65.0,33.4,88.8,51.6,20.4,19.6
2017,40,100.2,62.4,49.8,27.8,76.0,108.0,30.2,35.6,,38.2,83.0,90.4,35.0,29.4,,99.0,85.6,94.8,15.8,60.8,82.6,149.2,,15.8,132.8,75.8,91.6,118.6,109.0,,57.0,106.2,94.8,,117.2,12.6,37.8,92.6,29.6,104.2,27.8,58.2,77.8,105.2,103.4,59.0,31.6,120.8,50.8,21.0
2017,41,88.6,102.6,86.4,35.2,90.1,77.6,53.2,65.6,,50.4,79.0,96.8,90.4,73.6,,91.0,74.0,34.4,21.4,68.6,49.8,74.8,,95.0,43.2,67.8,28.8,109.2,83.4,87.8,81.2,63.8,62.4,74.8,89.6,,65.8,31.0,61.2,18.7,50.8,76.0,,44.4,38.7,77.4,104.4,84.4,54.2,20.4
2017,42,1.8,0.0,1.8,0.8,1.0,0.0,0.8,0.0,,13.2,0.2,4.8,0.4,4.6,,0.0,1.2,0.0,1.0,0.0,0.0,2.0,,4.4,0.0,3.0,0.0,10.0,0.2,3.4,2.8,0.0,0.0,0.0,5.4,2.2,17.6,0.0,0.2,0.5,9.4,0.0,11.2,0.0,0.0,0.4,2.2,7.6,2.8,5.6
2017,43,30.8,0.2,9.0,17.4,23.1,11.4,31.8,85.0,,5.4,8.4,11.0,87.6,33.4,,16.4,18.8,53.6,28.6,21.0,0.2,3.0,,44.2,3.2,63.5,2.8,45.0,8.0,10.8,8.0,1.0,6.0,3.0,13.0,36.2,9.4,2.2,33.4,0.2,,42.4,11.4,35.4,64.4,12.0,2.0,40.2,,31.8
2017,44,10.4,38.0,10.6,8.8,19.7,82.2,12.6,57.6,,91.6,48.4,58.6,29.6,100.6,,93.4,39.6,59.8,53.6,77.8,69.8,153.2,,12.8,68.4,84.2,80.4,64.4,46.2,,60.0,80.4,48.8,75.2,16.8,17.6,102.8,73.6,12.0,76.2,,58.6,49.6,69.6,73.0,39.6,34.2,,78.2,104.4
2017,45,151.0,45.4,107.0,150.8,184.4,,129.8,197.2,58.8,91.4,45.6,144.8,134.2,86.2,116.6,,82.2,186.8,98.2,150.6,139.8,221.8,,139.4,121.2,101.4,109.8,133.6,,,141.8,108.2,,60.8,160.6,,98.4,,120.6,179.8,,120.0,122.6,222.0,207.3,73.6,47.8,,,47.2
2017,46,144.8,47.0,109.2,148.6,90.1,,82.0,178.0,57.4,74.2,56.6,69.2,124.0,111.8,69.4,77.0,150.8,187.4,66.4,99.4,33.6,190.0,,128.0,77.0,43.8,32.8,60.6,123.4,,62.0,33.4,132.6,,63.4,,95.0,,106.0,36.6,,109.2,52.0,,272.3,78.8,79.0,,76.4,58.8
2017,47,56.2,51.6,28.4,54.2,47.9,99.4,32.2,34.2,64.6,74.6,60.4,116.4,79.0,68.4,81.6,104.4,42.0,32.0,105.8,35.8,84.6,49.0,,51.6,62.2,80.2,62.6,104.8,,,44.6,70.0,,122.0,52.2,29.2,63.8,69.0,43.2,72.3,39.6,38.6,46.2,,39.7,65.2,65.8,,53.4,
2017,48,11.6,19.4,4.4,10.8,6.2,18.2,19.4,11.4,17.8,6.6,14.6,8.4,9.8,8.0,,12.4,4.8,20.2,,4.4,11.4,8.0,,18.4,5.2,6.0,25.8,6.4,,5.6,5.2,24.4,,23.4,8.4,,,8.2,10.0,17.6,9.0,6.0,5.2,,21.6,19.4,28.0,,32.0,17.8
2017,49,39.2,24.0,14.8,41.2,36.9,77.2,63.0,80.4,8.0,7.9,4.6,12.6,80.8,4.4,12.6,,10.4,37.6,2.6,42.4,48.0,86.2,,79.4,46.2,36.0,27.4,16.6,10.8,29.2,24.6,,4.0,67.8,22.6,87.0,6.4,48.8,46.5,,5.6,67.2,46.8,,62.0,11.0,6.6,28.8,,2.4
2017,50,105.8,65.4,91.8,143.2,130.0,73.0,130.8,243.8,93.8,57.3,82.8,85.8,138.0,99.4,63.4,,80.2,232.6,68.8,85.2,54.0,126.8,,157.4,47.2,62.0,73.6,89.2,45.0,,43.0,,50.0,55.2,103.2,148.6,73.8,44.8,180.5,68.2,73.4,97.8,90.0,115.9,185.7,37.4,48.4,59.8,159.0,
2017,51,48.4,30.2,23.6,55.2,47.6,25.4,56.4,33.6,25.2,24.8,31.8,26.0,47.4,30.0,33.0,21.2,25.4,52.8,36.8,32.4,30.4,42.4,,53.2,22.4,21.8,34.6,23.6,25.4,37.4,20.6,,21.6,29.6,32.8,60.0,,26.4,73.3,30.0,28.6,35.8,23.4,60.0,63.8,14.4,26.4,23.2,34.8,
2017,52,106.0,67.4,85.6,112.2,146.9,153.6,120.6,144.6,91.4,118.6,97.4,127.6,156.0,113.0,113.0,,104.4,133.2,,136.4,74.8,140.8,,139.4,95.8,141.4,73.6,124.4,166.6,146.8,133.8,,182.4,114.0,139.8,124.5,106.0,73.4,126.5,,,145.6,93.6,179.8,131.9,148.4,71.4,121.4,171.2,
